tcg_type,card_series,card_index,card_name,card_rarity,card_condition,price_yuyutei,url_yuyutei
PTCG,s12a,226/172,ルカリオVSTAR,SAR,傷無し,4980,https://yuyu-tei.jp/sell/poc/card/s12a/10315
PTCG,s12a,227/172,ドラピオンV,SAR,傷無し,980,https://yuyu-tei.jp/sell/poc/card/s12a/10316
PTCG,s12a,228/172,ダークライVSTAR,SAR,傷無し,12800,https://yuyu-tei.jp/sell/poc/card/s12a/10317
PTCG,s12a,229/172,ヒスイダイケンキV,SAR,傷無し,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10318
PTCG,s12a,230/172,ヒスイダイケンキVSTAR,SAR,傷無し,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10319
PTCG,s12a,231/172,フーパV,SAR,傷無し,980,https://yuyu-tei.jp/sell/poc/card/s12a/10320
PTCG,s12a,232/172,ザマゼンタV,SAR,傷無し,1980,https://yuyu-tei.jp/sell/poc/card/s12a/10321
PTCG,s12a,233/172,レジギガスVSTAR,SAR,傷無し,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10322
PTCG,s12a,234/172,ヒスイゾロアークVSTAR,SAR,傷無し,3480,https://yuyu-tei.jp/sell/poc/card/s12a/10323
PTCG,s12a,235/172,アクロマの実験,SAR,傷無し,980,https://yuyu-tei.jp/sell/poc/card/s12a/10324
PTCG,s12a,236/172,カイ,SAR,傷無し,5980,https://yuyu-tei.jp/sell/poc/card/s12a/10325
PTCG,s12a,237/172,キバナ,SAR,傷無し,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10326
PTCG,s12a,238/172,ザクロ,SAR,傷無し,780,https://yuyu-tei.jp/sell/poc/card/s12a/10327
PTCG,s12a,239/172,シロナの覇気,SAR,傷無し,4980,https://yuyu-tei.jp/sell/poc/card/s12a/10328
PTCG,s12a,240/172,セキ,SAR,傷無し,980,https://yuyu-tei.jp/sell/poc/card/s12a/10329
PTCG,s12a,241/172,チェレンの気くばり,SAR,傷無し,980,https://yuyu-tei.jp/sell/poc/card/s12a/10330
PTCG,s12a,242/172,ツツジ,SAR,傷無し,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10331
PTCG,s12a,243/172,ナタネの活気,SAR,傷無し,1780,https://yuyu-tei.jp/sell/poc/card/s12a/10332
PTCG,s12a,244/172,メロン,SAR,傷無し,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10333
PTCG,s12a,245/172,ウォロ,SR,傷無し,500,https://yuyu-tei.jp/sell/poc/card/s12a/10334
PTCG,s12a,246/172,カミツレのきらめき,SR,傷無し,4980,https://yuyu-tei.jp/sell/poc/card/s12a/10335
PTCG,s12a,247/172,シンオウの仲間たち,SR,傷無し,1480,https://yuyu-tei.jp/sell/poc/card/s12a/10336
PTCG,s12a,248/172,博士の研究[ナナカマド博士],SR,傷無し,500,https://yuyu-tei.jp/sell/poc/card/s12a/10337
PTCG,s12a,249/172,ヒスイの仲間たち,SR,傷無し,1280,https://yuyu-tei.jp/sell/poc/card/s12a/10338
PTCG,s12a,250/172,ボスの指令[アカギ],SR,傷無し,2480,https://yuyu-tei.jp/sell/poc/card/s12a/10339
PTCG,s12a,251/172,基本草エネルギー,SR,傷無し,320,https://yuyu-tei.jp/sell/poc/card/s12a/10340
PTCG,s12a,252/172,基本炎エネルギー,SR,傷無し,420,https://yuyu-tei.jp/sell/poc/card/s12a/10341
PTCG,s12a,253/172,基本水エネルギー,SR,傷無し,320,https://yuyu-tei.jp/sell/poc/card/s12a/10342
PTCG,s12a,254/172,基本雷エネルギー,SR,傷無し,320,https://yuyu-tei.jp/sell/poc/card/s12a/10343
PTCG,s12a,255/172,基本超エネルギー,SR,傷無し,420,https://yuyu-tei.jp/sell/poc/card/s12a/10344
PTCG,s12a,256/172,基本闘エネルギー,SR,傷無し,320,https://yuyu-tei.jp/sell/poc/card/s12a/10345
PTCG,s12a,257/172,基本悪エネルギー,SR,傷無し,500,https://yuyu-tei.jp/sell/poc/card/s12a/10346
PTCG,s12a,258/172,基本鋼エネルギー,SR,傷無し,420,https://yuyu-tei.jp/sell/poc/card/s12a/10347
PTCG,s12a,259/172,オリジンパルキアVSTAR,UR,傷無し,12800,https://yuyu-tei.jp/sell/poc/card/s12a/10348
PTCG,s12a,260/172,オリジンディアルガVSTAR,UR,傷無し,9980,https://yuyu-tei.jp/sell/poc/card/s12a/10349
PTCG,s12a,261/172,ギラティナVSTAR,UR,傷無し,29800,https://yuyu-tei.jp/sell/poc/card/s12a/10350
PTCG,s12a,262/172,アルセウスVSTAR,UR,傷無し,17800,https://yuyu-tei.jp/sell/poc/card/s12a/10351
